features,abs_coef
Overall Qual,17400.56492
Kitchen AbvGr,14632.25282
Garage Cars,8794.600119
Bedroom AbvGr,7575.56324
Bsmt Full Bath,6984.557202
Fireplaces,4307.607721
TotRms AbvGrd,4177.097641
Overall Cond,3909.869455
Bsmt Half Bath,3029.119513
Full Bath,1900.228365
Half Bath,1436.17478
Yr Sold,678.6169041
Year Built,355.0887842
Mo Sold,282.6755995
Year Remod/Add,193.5698012
MS SubClass,140.0779559
Pool Area,100.9623662
Screen Porch,81.9145117
Lot Frontage,48.49073889
Mas Vnr Area,32.52030882
Gr Liv Area,26.95003201
Wood Deck SF,23.8306948
3Ssn Porch,23.35768958
Enclosed Porch,21.94176143
1st Flr SF,21.92645772
Garage Area,21.28480196
2nd Flr SF,17.36138358
Garage Yr Blt,12.78179701
Low Qual Fin SF,12.33780928
Misc Val,12.21553874
BsmtFin SF 1,10.35804663
Total Bsmt SF,9.172230629
Open Porch SF,5.45826587
Bsmt Unf SF,2.27646364
BsmtFin SF 2,1.090647637
Lot Area,0.5435533
